normalized_name,store_chain_name,category_path,match_type,priority,source,notes
# ============================================
# Initial Categorization Rules
# ============================================
# Format:
# - normalized_name: lowercase, no punctuation (e.g., "banana", "naan bread")
# - store_chain_name: Store chain name (NULL = universal rule)
# - category_path: Full category path (e.g., "Grocery/Produce/Fruit")
# - match_type: exact, fuzzy, contains
# - priority: Lower = higher priority (1-1000)
# - source: seed, manual, auto
# - notes: Human-readable explanation
#
# Strategy:
# 1. Universal rules (store_chain_name = NULL) have lower priority (200+)
# 2. Store-specific rules have higher priority (1-100)
# 3. When multiple matches exist, store-specific rules win
# ============================================

# Produce - Fruit (Universal)
banana,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: bananas are always fruit
apple,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: apples are always fruit
orange,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: oranges are always fruit
grape,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: grapes are always fruit
strawberry,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: strawberries are always fruit
blueberry,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: blueberries are always fruit
watermelon,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: watermelon is always fruit
mango,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: mango is always fruit
avocado,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: avocado is technically a fruit
pineapple,NULL,Grocery/Produce/Fruit,fuzzy,200,seed,Universal: pineapple is always fruit

# Produce - Vegetables (Universal)
carrot,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: carrots are vegetables
broccoli,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: broccoli is a vegetable
cauliflower,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: cauliflower is a vegetable
spinach,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: spinach is a vegetable
lettuce,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: lettuce is a vegetable
tomato,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: tomatoes sold as vegetables
cucumber,NULL,Grocery/Produce/Vegetables,fuzzy,200,seed,Universal: cucumbers sold as vegetables
